frac_age,delta_nu_fit,nu_max,nu_0_1,nu_0_2,nu_0_3,nu_0_4,nu_0_5,nu_0_6,nu_0_7,nu_0_8,nu_0_9,nu_0_10,nu_0_11,nu_0_12,nu_0_13,nu_0_14,nu_0_15,nu_0_16,nu_0_17,nu_0_18,nu_0_19,nu_0_20,nu_0_21,nu_0_22,nu_0_23,nu_0_24,nu_0_25,nu_0_26,nu_0_27,nu_0_28,nu_0_29,nu_0_30,nu_0_31,nu_0_32,nu_0_33,nu_0_34,nu_0_35,nu_0_36,nu_0_37,nu_0_38,nu_0_39,nu_0_40,surface_he4
0.5238644581422368,128.06144982422174,2833.878357370773,0.0,0.0,511.47525859890055,642.3839054347505,778.1871843531329,914.7458625647866,1050.918121865039,1187.432714001623,1321.980933042232,1454.9607035814279,1583.6682108253742,1710.763746929405,1837.692023261775,1965.372051546799,2093.036610250262,2219.119522518556,2344.95275900935,2471.196917453064,2598.707282151032,2726.72018285972,2854.697481290693,2982.872586292563,3111.0634786451487,3239.8322783243652,3368.93983539126,3498.355020928678,3627.886554445439,3757.406898922722,3887.118142708031,4016.579501782498,4146.035043625253,4274.774034128533,4399.815873494968,4526.937769898581,4652.43748747399,4775.683320062977,4895.713676643752,5013.178826840911,5129.969665150087,5249.085029687032,0.21276425985636568
0.5264811344856692,127.90220386579529,2829.0642454252675,0.0,0.0,510.9511971185842,641.6667007728389,777.2702141072459,913.6423793865857,1049.631962361174,1185.969622856162,1320.337887332628,1453.1353126381632,1581.661404288815,1708.585653031025,1835.3578034118048,1962.8760942123317,2090.3736303024602,2216.2889154069157,2341.963864396576,2468.057173813935,2595.4158292612287,2723.273475341606,2851.091022880451,2979.1071787397746,3107.143177847869,3235.758396090336,3364.708255337162,3493.965768070672,3623.339591153391,3752.7012459181847,3882.2498512475768,4011.548748985142,4140.840741803057,4269.399635263967,4394.280265903952,4521.2222423724215,4646.529920885902,4769.567475246286,4889.382634513753,5006.657393153569,5123.323933541008,5242.348360730093,0.21263073968471569
0.5290944691280673,127.7426101714086,2824.2462082349653,0.0,0.0,510.42578634058236,640.9481667045197,776.3514607540167,912.536936820732,1048.3435473165512,1184.503733051927,1318.692140826902,1451.306089402259,1579.6512413127066,1706.403046921984,1833.0194400610171,1960.375519439089,2087.70522308399,2213.45332203741,2338.968700554752,2464.912173770315,2592.117826561897,2719.820284670717,2847.4779785198216,2975.333988683257,3103.216137111311,3231.676101116814,3360.469324098669,3489.567775772984,3618.783798155992,3747.987182314683,3877.3714095246614,4006.509269032052,4135.6352235483755,4264.015008703359,4388.733286262083,4515.494773964829,4640.6106872762075,4763.4372748613205,4883.038938830504,5000.121893493796,5116.665819444538,5235.600560711681,0.21249787108233004
0.5317044672258244,127.58312782671335,2819.433357475695,0.0,0.0,509.9004656703813,640.2301387050533,775.4334171484203,911.4323265652215,1047.056009607936,1183.038921182796,1317.0474766148309,1449.47823378514,1577.642402881904,1704.222116843666,1830.682741417787,1957.876822078917,2085.038804454839,2210.6196399353,2335.975983487658,2461.769483343952,2588.82235641353,2716.369639597795,2843.867470364237,2971.5637517473547,3099.291656143263,3227.5970823191083,3356.2332751760773,3485.172941227653,3614.231108437365,3743.276385102165,3872.496510420646,4001.472920368044,4130.433389503893,4258.6332789115995,4383.1900135658425,4509.770752442859,4634.694778614887,4757.310650042024,4876.6986891979495,4993.591111885265,5110.01368149596,5228.85872146889,0.2123655893215293
0.5343111337695569,127.42345700958643,2814.6181740060297,0.0,0.0,509.3742028499242,639.5111888698037,774.514286315889,910.3264043885068,1045.766869874357,1181.572360449323,1315.400744805084,1447.648223627139,1575.631078515531,1702.0386595973264,1828.343274460781,1955.37522099279,2082.369300083732,2207.7825089210396,2332.979981169063,2458.623186313525,2585.523091845387,2712.914998906203,2840.252609799815,2967.7892851406236,3095.3623232803966,3223.513489099533,3351.992165015945,3480.772867850379,3609.6729514307012,3738.5599338733796,3867.615942262413,3996.430268561745,4125.225336874635,4253.244461112641,4377.639981539567,4504.039578219506,4628.771214702831,4751.176345716933,4870.350611234021,4987.053353721583,5103.355802165368,5222.1107276141665,0.2122338491423036
0.5369144734216986,127.26406735936882,2809.812800971862,0.0,0.0,508.848633062651,638.793628015483,773.5969226752287,909.222648011854,1044.480140802015,1180.108613111266,1313.757066064664,1445.821650745045,1573.6234732691198,1699.859334381279,1826.008243615398,1952.878369618174,2079.70484141629,2204.95059403828,2329.989753576399,2455.482893198749,2582.2300326676,2709.466853963712,2836.644357161041,2964.0219885778492,3091.4400938328695,3219.437634847266,3347.758866716303,3476.3808156065143,3605.123108100697,3733.852055209554,3862.744374989846,3991.3965670393736,4120.026623103745,4247.864714921641,4372.099726511778,4498.318317789011,4622.857483471184,4745.052154753578,4864.013044739671,4980.527260033378,5096.711250180853,5215.376093602188,0.2121026172629466
0.5395144916865467,127.10471386937124,2805.0110084798152,0.0,0.0,508.3228960346996,638.0762524376787,772.6798240330952,908.1192480510223,1043.193732694136,1178.645303844387,1312.113791821709,1443.995574622285,1571.616388875064,1697.680644888777,1823.673912895578,1950.3822794181008,2077.041168188978,2202.119381392798,2327.000513265053,2452.343618845615,2578.93792008446,2706.019722391497,2833.036988173364,2960.2558752647246,3087.51876537737,3215.3630160116027,3343.5266893690277,3471.9897977797227,3600.5743576764708,3729.145274067289,3857.8741112821504,3986.363900080069,4114.829028581454,4242.485614238545,4366.560535259305,4492.5980436082755,4616.944378542014,4738.928596917081,4857.676379529734,4974.002929396936,5090.069961655418,5208.644531616042,0.21197186818856195
0.5421111944481697,126.94539984516554,2800.212563332552,0.0,0.0,507.7969687213188,637.359033093019,771.7629476162697,907.0161604352082,1041.907596463204,1177.182374284963,1310.470868070571,1442.1699179616392,1569.60976010779,1695.502512735814,1821.3402123104486,1947.8868594838927,2074.378170889875,2199.288781934038,2324.012130293736,2449.205266182318,2575.646634858991,2702.573500361333,2829.4304059106457,2956.490833740862,3083.598268019481,3211.289524743655,3339.295565458593,3467.5997194950983,3596.026648312629,3724.439497221888,3853.005042018562,3981.332181847889,4109.632388223845,4237.107029843822,4361.022226994071,4486.87862696019,4611.03177249991,4732.805550710634,4851.340526062508,4967.480222482841,5083.431787476759,5201.915822711472,0.2118415816793324
0.5447045861015569,126.78612366254109,2795.4176679314137,0.0,0.0,507.27087888310064,636.6420156527299,770.846342131334,905.9134526268623,1040.621807930702,1175.71991025449,1308.828386064509,1440.3447616910641,1567.603691969927,1693.325035331195,1819.007249262653,1945.3922043722696,2071.71597149334,2196.458945024831,2321.024745333783,2446.068018607156,2572.356355272833,2699.128370707916,2825.824799799318,2952.7270370883666,3079.6787835323717,3207.217295657304,3335.065657264174,3463.2107405920697,3591.480160448775,3719.734890058435,3848.1373526541524,3976.301621812123,4104.436916140357,4231.729202772354,4355.48504151227,4481.160341286197,4605.119903968764,4726.683208267139,4845.00571027683,4960.9593438418015,5076.79696603361,5195.1902733213865,0.21170550020365608
0.5472946713597696,126.62686386495672,2790.625964783986,0.0,0.0,506.7445736024292,635.9251341641857,769.9299199363331,904.8110275966153,1039.336257642462,1174.2577816714258,1307.1862003839951,1438.519932527922,1565.598020451813,1691.148015326408,1816.6748212988336,1942.898102686702,2069.054342880269,2193.629644559842,2318.038092474222,2442.931609583174,2569.066776598097,2695.683980984567,2822.2198051191276,2948.964106449414,3075.759913877558,3203.145878679992,3330.8365514061047,3458.8224205012248,3586.934440404771,3715.030978618371,3843.2705660879906,3971.2717360480688,4099.2420617501175,4226.351610351615,4349.948442858542,4475.442640082511,4599.208185656554,4720.560930874809,4838.671360906545,4954.43969113557,5070.164875870324,5188.4672323947525,0.21157110872256346
